targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
UGC09760,2023,NGC5846:[MTT2005]321,13,"('228.01018', '1.69874')","('228.01018', '1.69874')",2.0,2.0,141.54708741853955,95.54752220753817,0.0,x,2245.0,2023.0,0.0,26.4,x,20.9,1.9,85.0,57.0,x,147.28,.S..7./,0.09,57.0,Sd,Sd,0.006748
UGC09760,2023,NGC5846:[MTT2005]323,13,"('228.01018', '1.69874')","('228.03424', '1.58594')",0.15726895074666822,3.8182192355413405e-23,46.7780388647478,8.607438643406063,61.77841684401525,x,2180.0,1958.0,-65.0,30.69,x,4.2,3.9,24.0,137.0,31.0,-99.99,x,0.09,-99,E,E,0.00653
UGC09760,2023,NGC5846:[EZ2010]36,13,"('228.01018', '1.69874')","('227.84016', '1.61047')",0.0440670094521924,6.862350359087039e-23,59.14089438200837,14.331050205759523,102.24396562776748,x,2172.0,1950.0,-73.0,30.59,x,5.9,3.3,56.0,128.0,65.4,-99.99,x,0.09,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.006504
UGC09760,2023,NGC5846:[EZ2010]51,13,"('228.01018', '1.69874')","('228.17245', '1.62327')",0.019446213166054813,3.956235764028394e-39,49.80843587295778,9.865900871182518,92.51644351991949,x,2104.0,1883.0,-140.0,29.63,x,4.6,2.2,61.0,61.0,54.0,-99.99,x,0.09,-99,dE4,dE4,0.00628
UGC09760,2023,NGC5846:[MTT2005]305,13,"('228.01018', '1.69874')","('227.56896', '1.93427')",0.0018277336326360232,2.265600660719952e-07,121.74843978037151,68.8595091472485,250.4314957930761,x,1959.0,1735.0,-288.0,28.7,x,16.8,4.0,76.0,135.0,16.9,82.82,.S..4*.,0.09,140.0,Sbc:,Sbc:,0.005787
UGC09760,2023,NGC5846:[MTT2005]313,13,"('228.01018', '1.69874')","('227.75556', '1.68059')",6.02420373730459e-05,2.906577157587978e-91,46.00667649591621,8.3018672598398,118.99233686057553,x,1898.0,1675.0,-348.0,26.72,x,4.1,3.4,35.0,158.0,72.1,-99.99,x,0.09,-99,dE,dE,0.005586
UGC09760,2023,NGC5846:[EZ2010]52,13,"('228.01018', '1.69874')","('228.10018', '2.08006')",4.5086518353107966e-07,2.939407813532838e-113,53.483943519540084,11.517421586448938,184.41956669291218,x,1915.0,1693.0,-330.0,26.97,x,5.1,3.2,50.0,99.0,85.7,-99.99,x,0.09,-99,"dE3,N","dE3,N",0.005648
UGC09760,2023,NGC5854,13,"('228.01018', '1.69874')","('226.94874', '2.56864')",1.4379676711602206e-08,1.3063901541549053e-32,102.00487150136152,46.87216658103186,392.65184984128473,x,1889.0,1663.0,-360.0,16.4,x,13.0,4.9,68.0,60.0,69.3,165.25,.LBS+./,0.09,55.0,SB(s)0+,SB(s)0+,0.005547
UGC09760,2023,NGC5846:[EZ2010]56,13,"('228.01018', '1.69874')","('228.13223', '0.81263')",7.032572269370622e-17,2.0313113489843873e-155,74.84518802278988,23.912068082873972,450.7033361763747,x,2050.0,1830.0,-193.0,28.87,x,8.3,3.6,64.0,118.0,54.2,-99.99,x,0.09,-99,dIrr,dIrr,0.006104
UGC09760,2023,NGC5846:[MTT2005]290,13,"('228.01018', '1.69874')","('227.31238', '1.92143')",1.4172040665056118e-19,0.0,54.92250663883951,12.201516299214617,353.3187980561111,x,1963.0,1739.0,-284.0,27.65,x,5.3,2.9,57.0,91.0,16.7,-99.99,x,0.09,-99,dE,dE,0.0058
UGC09760,2023,NGC5846:[MTT2005]317,13,"('228.01018', '1.69874')","('227.83943', '1.61076')",1.3003606838566564e-30,0.0,12.215868886348156,0.46475800154489,101.14474691967217,x,2143.0,1921.0,-102.0,30.18,x,0.6,0.4,48.0,78.0,15.3,-99.99,x,0.09,-99,dE,dE,0.006409
UGC09760,2023,NGC5846:[MTT2005]276,13,"('228.01018', '1.69874')","('227.19661', '1.89997')",3.1601250826401983e-31,0.0,54.92250663883951,12.201516299214617,460.2556072013296,x,2236.0,2011.0,-12.0,31.48,x,5.3,1.8,70.0,155.0,51.1,-99.99,x,0.09,-99,dE,dE,0.006709
UGC09760,2023,NGC5846:[MTT2005]266,13,"('228.01018', '1.69874')","('227.09454', '1.79861')",3.176181754986811e-39,0.0,46.7780388647478,8.607438643406063,433.5230025225977,x,1916.0,1691.0,-332.0,26.98,x,4.2,2.1,61.0,140.0,43.8,-99.99,x,0.09,-99,"dE,N_NLAGN","dE,N_NLAGN",0.005642
