Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC4536,HE1217+0220,0.006031,0.2400,926.5519292677573,188.61271,2.18814,185.04958333333332,2.0616666666666665,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,7.0,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,HE1217+0220,0.006031,0.2400,926.5519292677573,188.61271,2.18814,185.04958333333332,2.0616666666666665,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,7.0,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,HE1217+0220,0.006031,0.2400,926.5519292677573,188.61271,2.18814,185.04958333333332,2.0616666666666665,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,7.0,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,PKS1219+04,0.006031,0.9674,945.4544236677449,188.61271,2.18814,185.59375,4.221111111111111,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,29.0,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,MRK50,0.006031,0.0230,728.9539858168455,188.61271,2.18814,185.85041666666666,2.678888888888889,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,5.1,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,MRK50,0.006031,0.0230,728.9539858168455,188.61271,2.18814,185.85041666666666,2.678888888888889,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,5.1,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,SDSSJ122414.29+003709.0,0.006031,1.4798,779.1131581829634,188.61271,2.18814,186.05958333333334,0.6191666666666666,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,36.6,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,SDSSJ122556.62+003535.1,0.006031,1.2207,691.222600435368,188.61271,2.18814,186.48583333333335,0.5930555555555556,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,41.9,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,SDSSJ122558.45-005226.2,0.006031,0.9628,968.3078120467071,188.61271,2.18814,186.49375,-0.8738888888888888,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,60.3,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,SDSSJ122608.02-000602.2,0.006031,1.1256,804.0644544235126,188.61271,2.18814,186.53333333333333,-0.10055555555555555,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,52.7,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
NGC4536,HD108317,0.006031,7,956.3130712612664,188.61271,2.18814,186.65416666666664,5.303333333333334,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,53.0,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2.0,1.8,0.11,0.095
